: core   0: 0x0000000000001000 (0x00000297) auipc   t0, 0x0
: core   0: 0x0000000000001004 (0x02028593) addi    a1, t0, 32
: core   0: 0x0000000000001008 (0xf1402573) csrr    a0, mhartid
: core   0: 0x000000000000100c (0x0182a283) lw      t0, 24(t0)
: core   0: 0x0000000000001010 (0x00028067) jr      t0
: core   0: 0xffffffff80000000 (0x00051197) auipc   gp, 0x51
: core   0: 0xffffffff80000004 (0x80018193) addi    gp, gp, -2048
: core   0: 0xffffffff80000008 (0x00009517) auipc   a0, 0x9
: core   0: 0xffffffff8000000c (0xa1450513) addi    a0, a0, -1516
: core   0: 0xffffffff80000010 (0x00052103) lw      sp, 0(a0)
: core   0: 0xffffffff80000014 (0x00009517) auipc   a0, 0x9
: core   0: 0xffffffff80000018 (0xa0c50513) addi    a0, a0, -1524
: core   0: 0xffffffff8000001c (0x0000410c) c.lw    a1, 0(a0)
: core   0: 0xffffffff8000001e (0x0000912e) c.add   sp, a1
: core   0: 0xffffffff80000020 (0x87c18513) addi    a0, gp, -1924
: core   0: 0xffffffff80000024 (0x00055597) auipc   a1, 0x55
: core   0: 0xffffffff80000028 (0xdc458593) addi    a1, a1, -572
: core   0: 0xffffffff8000002c (0x00b57763) bgeu    a0, a1, pc + 14
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
: core   0: 0xffffffff80000034 (0x00000511) c.addi  a0, 4
: core   0: 0xffffffff80000036 (0xfeb56de3) bltu    a0, a1, pc - 6
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
: core   0: 0xffffffff80000034 (0x00000511) c.addi  a0, 4
: core   0: 0xffffffff80000036 (0xfeb56de3) bltu    a0, a1, pc - 6
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
: core   0: 0xffffffff80000034 (0x00000511) c.addi  a0, 4
: core   0: 0xffffffff80000036 (0xfeb56de3) bltu    a0, a1, pc - 6
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
: core   0: 0xffffffff80000034 (0x00000511) c.addi  a0, 4
: core   0: 0xffffffff80000036 (0xfeb56de3) bltu    a0, a1, pc - 6
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
: core   0: 0xffffffff80000034 (0x00000511) c.addi  a0, 4
: core   0: 0xffffffff80000036 (0xfeb56de3) bltu    a0, a1, pc - 6
: core   0: 0xffffffff80000030 (0x00052023) sw      zero, 0(a0)
